otech2af@client3:~/cctf-g3/attack$ cat reqs.log
[0@07:05:42] Contacted 3, next in 7
[1@07:05:43] Contacted 8, next in 7
[2@07:05:50] Contacted 9, next in 8
[3@07:05:58] Contacted 4, next in 9
[4@07:06:06] Contacted 2, next in 8
[5@07:06:16] Contacted 10, next in 9
[6@07:06:24] Contacted 5, next in 9
[7@07:06:34] Contacted 9, next in 9
[8@07:06:43] Contacted 6, next in 7
[9@07:06:53] Contacted 2, next in 7
[10@07:07:01] Contacted 10, next in 8
[11@07:07:08] Contacted 8, next in 7
[12@07:07:17] Contacted 3, next in 7
[13@07:07:24] Contacted 10, next in 8
[14@07:07:32] Contacted 7, next in 7
[15@07:07:40] Contacted 3, next in 8
[16@07:07:48] Contacted 8, next in 9
[17@07:07:56] Contacted 1, next in 7
[18@07:08:06] Contacted 8, next in 7
[19@07:08:14] Contacted 2, next in 9
[20@07:08:21] Contacted 10, next in 8
[21@07:08:31] Contacted 3, next in 9
[22@07:08:40] Contacted 4, next in 8
[23@07:08:50] Contacted 2, next in 8
[24@07:08:58] Contacted 5, next in 9
[25@07:09:07] Contacted 5, next in 9
[26@07:09:17] Contacted 10, next in 7
[27@07:09:27] Contacted 10, next in 7
[28@07:09:34] Contacted 5, next in 7
[29@07:09:42] Contacted 3, next in 9
[30@07:09:50] Contacted 10, next in 8
[31@07:10:00] Contacted 3, next in 8
[32@07:10:09] Contacted 2, next in 9
[33@07:10:17] Contacted 7, next in 9
[34@07:10:27] Contacted 3, next in 9
[35@07:10:37] Contacted 2, next in 9
[36@07:10:47] Contacted 2, next in 7
[37@07:10:57] Contacted 5, next in 9
[38@07:11:04] Contacted 10, next in 7
[39@07:11:14] Contacted 7, next in 8
[40@07:11:22] Contacted 4, next in 8
[41@07:11:31] Contacted 4, next in 8
[42@07:11:40] Contacted 8, next in 8
[43@07:11:48] Contacted 8, next in 8
[44@07:11:57] Contacted 8, next in 7
[45@07:12:06] Contacted 4, next in 8
[46@07:12:14] Contacted 6, next in 7
[47@07:12:23] Contacted 10, next in 9
[48@07:12:30] Contacted 8, next in 7
[49@07:12:40] Contacted 4, next in 9
[50@07:12:48] Contacted 10, next in 8
[51@07:12:58] Contacted 1, next in 7
[52@07:13:06] Contacted 9, next in 9
[53@07:13:14] Contacted 2, next in 7
[54@07:13:24] Contacted 10, next in 8
[55@07:13:32] Contacted 3, next in 8
[56@07:13:40] Contacted 3, next in 9
[57@07:13:49] Contacted 4, next in 9
[58@07:13:59] Contacted 5, next in 9
[59@07:14:09] Contacted 2, next in 7
[60@07:14:18] Contacted 9, next in 9
[61@07:14:26] Contacted 4, next in 8
[62@07:14:36] Contacted 7, next in 9
[63@07:14:45] Contacted 7, next in 9
[64@07:14:55] Contacted 7, next in 8
[65@07:15:04] Contacted 2, next in 7
[66@07:15:13] Contacted 10, next in 9
[67@07:15:21] Contacted 3, next in 9
[68@07:15:31] Contacted 5, next in 9
[69@07:15:41] Contacted 7, next in 8
[70@07:15:50] Contacted 3, next in 9
[71@07:15:59] Contacted 2, next in 7
